id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
70,CPI-SC0DA028FF9,383,1787,CellChatDB_v1,user_curated,,NigelHo,,
71,CPI-SC0E866CD7F,841,1787,CellChatDB_v1,user_curated,,NigelHo,,
72,CPI-SC073ACAA53,1375,1787,CellChatDB_v1,user_curated,,NigelHo,,
73,CPI-SC0D2064B95,430,1763,CellChatDB_v1,user_curated,,NigelHo,,
74,CPI-SC032240414,431,1763,CellChatDB_v1,user_curated,,NigelHo,,
75,CPI-SC01D52D3E6,383,1763,CellChatDB_v1,user_curated,,NigelHo,,
76,CPI-SC00FFE5DB5,841,1763,CellChatDB_v1,user_curated,,NigelHo,,
77,CPI-SC021F77061,1375,1763,CellChatDB_v1,user_curated,,NigelHo,,
78,CPI-SC0F3593278,430,1764,CellChatDB_v1,user_curated,,NigelHo,,
79,CPI-SC011FAFE70,431,1764,CellChatDB_v1,user_curated,,NigelHo,,
80,CPI-SC0FA714521,383,1764,CellChatDB_v1,user_curated,,NigelHo,,
81,CPI-SC02521E712,841,1764,CellChatDB_v1,user_curated,,NigelHo,,
82,CPI-SC00EA27DD9,1375,1764,CellChatDB_v1,user_curated,,NigelHo,,
83,CPI-SC0D0822443,430,1765,CellChatDB_v1,user_curated,,NigelHo,,
84,CPI-SC00DF87C38,431,1765,CellChatDB_v1,user_curated,,NigelHo,,
85,CPI-SC04771EF53,383,1765,CellChatDB_v1,user_curated,,NigelHo,,
86,CPI-SC0BD23E626,841,1765,CellChatDB_v1,user_curated,,NigelHo,,
87,CPI-SC03DB68A4F,1375,1765,CellChatDB_v1,user_curated,,NigelHo,,
88,CPI-SC061D401E0,129,1779,CellChatDB_v1,user_curated,,NigelHo,,
89,CPI-SC048EDA17A,1031,1779,CellChatDB_v1,user_curated,,NigelHo,,
90,CPI-SC06FDAC626,129,1778,CellChatDB_v1,user_curated,,NigelHo,,
91,CPI-SC0560A20E4,1031,1778,CellChatDB_v1,user_curated,,NigelHo,,
92,CPI-SC0D7DD0131,97,1771,CellChatDB_v1,user_curated,,NigelHo,,
93,CPI-SC0560D26E6,661,1767,CellChatDB_v1,user_curated,,NigelHo,,
94,CPI-SC0155E2093,66,1767,CellChatDB_v1,user_curated,,NigelHo,,
95,CPI-SC0F0314CFC,270,1767,CellChatDB_v1,user_curated,,NigelHo,,
96,CPI-SC076C9D20B,288,1767,CellChatDB_v1,user_curated,,NigelHo,,
97,CPI-SC06F676EDD,660,1767,CellChatDB_v1,user_curated,,NigelHo,,
98,CPI-SC050827932,674,1767,CellChatDB_v1,user_curated,,NigelHo,,
99,CPI-CC06C126A5A,1754,1767,CellChatDB_v1,user_curated,,NigelHo,,
100,CPI-SC0D14DED10,128,1903,CellChatDB_v1,user_curated,,NigelHo,,
101,CPI-SC0EFCA6995,66,1903,CellChatDB_v1,user_curated,,NigelHo,,
102,CPI-SC019C5647F,128,1904,CellChatDB_v1,user_curated,,NigelHo,,
103,CPI-SC0B7DD9EFB,66,1904,CellChatDB_v1,user_curated,,NigelHo,,
104,CPI-SC0CA7B096B,128,1769,CellChatDB_v1,user_curated,,NigelHo,,
105,CPI-SC0852440A6,66,1769,CellChatDB_v1,user_curated,,NigelHo,,
106,CPI-SC017BDFEF2,270,1769,CellChatDB_v1,user_curated,,NigelHo,,
107,CPI-SC0D626CE9B,288,1769,CellChatDB_v1,user_curated,,NigelHo,,
108,CPI-SC061B832B2,660,1769,CellChatDB_v1,user_curated,,NigelHo,,
109,CPI-SC07B7610A1,674,1769,CellChatDB_v1,user_curated,,NigelHo,,
110,CPI-CC0376997A1,1754,1769,CellChatDB_v1,user_curated,,NigelHo,,
111,CPI-SS012A0AEC9,1454,556,CellChatDB_v1,user_curated,,NigelHo,,
112,CPI-SC09F33F5AF,216,1780,CellChatDB_v1,user_curated,,NigelHo,,
113,CPI-SC09F4B0FAF,216,1781,CellChatDB_v1,user_curated,,NigelHo,,
114,CPI-SC0D252E877,216,1924,CellChatDB_v2,user_curated,,NigelHo,,
115,CPI-SC07CB90301,560,1822,CellChatDB_v1,user_curated,,NigelHo,,
116,CPI-SC0847EC3FF,809,1822,CellChatDB_v1,user_curated,,NigelHo,,
117,CPI-SC0B7680B02,932,1823,CellChatDB_v1,user_curated,,NigelHo,,
118,CPI-SC0719762EA,809,1824,CellChatDB_v1,user_curated,,NigelHo,,
119,CPI-SC0B08A3133,102,1825,CellChatDB_v1,user_curated,,NigelHo,,
120,CPI-SC0886E1AAB,918,1768,CellChatDB_v1,user_curated,,NigelHo,,
121,CPI-SC01CEC4B16,468,1768,CellChatDB_v1,user_curated,,NigelHo,,
122,CPI-SC0BB9EE3BB,990,1768,CellChatDB_v1,user_curated,,NigelHo,,
123,CPI-SC0531B0BE5,918,1774,CellChatDB_v1,user_curated,,NigelHo,,
124,CPI-SC0AED3494C,468,1774,CellChatDB_v1,user_curated,,NigelHo,,
125,CPI-SC008DCF3E5,990,1774,CellChatDB_v1,user_curated,,NigelHo,,
126,CPI-SC03E021376,918,1770,CellChatDB_v1,user_curated,,NigelHo,,
127,CPI-SC064364A34,468,1770,CellChatDB_v1,user_curated,,NigelHo,,
128,CPI-SC0F998907E,990,1770,CellChatDB_v1,user_curated,,NigelHo,,
129,CPI-SC0DDCFBA97,918,1776,CellChatDB_v1,user_curated,,NigelHo,,
130,CPI-SC05EDAB6D3,468,1776,CellChatDB_v1,user_curated,,NigelHo,,
131,CPI-SC019F852F8,990,1776,CellChatDB_v1,user_curated,,NigelHo,,
132,CPI-SC047650CE9,288,1773,CellChatDB_v1,user_curated,,NigelHo,,
133,CPI-SC0A337B15C,660,1773,CellChatDB_v1,user_curated,,NigelHo,,
134,CPI-SC090E96549,674,1773,CellChatDB_v1,user_curated,,NigelHo,,
135,CPI-CC0FE7E0673,1754,1773,CellChatDB_v1,user_curated,,NigelHo,,
136,CPI-SC0EF944E7A,288,1775,CellChatDB_v1,user_curated,,NigelHo,,
137,CPI-SC081F3C658,660,1775,CellChatDB_v1,user_curated,,NigelHo,,
138,CPI-SC068EC1EEE,674,1775,CellChatDB_v1,user_curated,,NigelHo,,
139,CPI-CC09C026BFD,1754,1775,CellChatDB_v1,user_curated,,NigelHo,,
140,CPI-CS06321E37F,1755,466,CellChatDB_v1,user_curated,,NigelHo,,
141,CPI-CS0BFA6249A,1756,754,CellChatDB_v1,user_curated,,NigelHo,,
142,CPI-SC036120F96,228,1802,CellChatDB_v1,user_curated,,NigelHo,,
143,CPI-SC0152439C2,953,1802,CellChatDB_v1,user_curated,,NigelHo,,
144,CPI-SC0A240A910,1751,1802,CellChatDB_v1,user_curated,,NigelHo,,
145,CPI-SC04B4CB182,1022,1802,CellChatDB_v1,user_curated,,NigelHo,,
146,CPI-SC0D5C7F2EB,289,1802,CellChatDB_v1,user_curated,,NigelHo,,
147,CPI-SC086EAFF18,897,1802,CellChatDB_v1,user_curated,,NigelHo,,
148,CPI-SC01A9C52E5,668,1802,CellChatDB_v1,user_curated,,NigelHo,,
149,CPI-SC03170177A,669,1802,CellChatDB_v1,user_curated,,NigelHo,,
150,CPI-SC094731290,670,1802,CellChatDB_v1,user_curated,,NigelHo,,
151,CPI-SC0B7534B27,1061,1802,CellChatDB_v1,user_curated,,NigelHo,,
152,CPI-SC073C44F4A,60,1802,CellChatDB_v1,user_curated,,NigelHo,,
153,CPI-SC029073BCD,671,1802,CellChatDB_v1,user_curated,,NigelHo,,
154,CPI-SC0F2C233F1,957,1802,CellChatDB_v1,user_curated,,NigelHo,,
155,CPI-SC061770B43,898,1802,CellChatDB_v1,user_curated,,NigelHo,,
156,CPI-SC0F16DF8F0,69,1802,CellChatDB_v1,user_curated,,NigelHo,,
157,CPI-SC0318621C2,70,1802,CellChatDB_v1,user_curated,,NigelHo,,
158,CPI-SC095AB303B,228,1804,CellChatDB_v1,user_curated,,NigelHo,,
159,CPI-SC0A1FBA1E9,953,1804,CellChatDB_v1,user_curated,,NigelHo,,
160,CPI-SC031D7D00C,1751,1804,CellChatDB_v1,user_curated,,NigelHo,,
161,CPI-SC0A49C6C7E,1022,1804,CellChatDB_v1,user_curated,,NigelHo,,
162,CPI-SC00BD4551E,289,1804,CellChatDB_v1,user_curated,,NigelHo,,
163,CPI-SC0A81AF307,897,1804,CellChatDB_v1,user_curated,,NigelHo,,
164,CPI-SC050F278B4,668,1804,CellChatDB_v1,user_curated,,NigelHo,,
165,CPI-SC051E1E7D7,669,1804,CellChatDB_v1,user_curated,,NigelHo,,
166,CPI-SC0D6D44FE1,670,1804,CellChatDB_v1,user_curated,,NigelHo,,
167,CPI-SC0E713417E,1061,1804,CellChatDB_v1,user_curated,,NigelHo,,
168,CPI-SC0EB5D8E44,60,1804,CellChatDB_v1,user_curated,,NigelHo,,
169,CPI-SC01EBF0CE9,671,1804,CellChatDB_v1,user_curated,,NigelHo,,
170,CPI-SC0E5BBC28B,957,1804,CellChatDB_v1,user_curated,,NigelHo,,
171,CPI-SC090AC04CE,898,1804,CellChatDB_v1,user_curated,,NigelHo,,
172,CPI-SC0C644006E,69,1804,CellChatDB_v1,user_curated,,NigelHo,,
173,CPI-SC094C611B7,70,1804,CellChatDB_v1,user_curated,,NigelHo,,
174,CPI-SC0147DCB06,228,1806,CellChatDB_v1,user_curated,,NigelHo,,
175,CPI-SC056EB69D2,953,1806,CellChatDB_v1,user_curated,,NigelHo,,
176,CPI-SC0DA5EC949,1751,1806,CellChatDB_v1,user_curated,,NigelHo,,
177,CPI-SC04F7D62D5,1022,1806,CellChatDB_v1,user_curated,,NigelHo,,
178,CPI-SC055AF31A9,289,1806,CellChatDB_v1,user_curated,,NigelHo,,
179,CPI-SC06037057B,897,1806,CellChatDB_v1,user_curated,,NigelHo,,
180,CPI-SC0148F76F0,668,1806,CellChatDB_v1,user_curated,,NigelHo,,
181,CPI-SC0782ECD47,669,1806,CellChatDB_v1,user_curated,,NigelHo,,
182,CPI-SC0EB633CED,670,1806,CellChatDB_v1,user_curated,,NigelHo,,
183,CPI-SC0512E3581,1061,1806,CellChatDB_v1,user_curated,,NigelHo,,
184,CPI-SC0AE0AAAFB,60,1806,CellChatDB_v1,user_curated,,NigelHo,,
185,CPI-SC0ADD9F3A1,671,1806,CellChatDB_v1,user_curated,,NigelHo,,
186,CPI-SC0D32DCC97,957,1806,CellChatDB_v1,user_curated,,NigelHo,,
187,CPI-SC0BE1E619E,898,1806,CellChatDB_v1,user_curated,,NigelHo,,
188,CPI-SC0637CC9D5,69,1806,CellChatDB_v1,user_curated,,NigelHo,,
189,CPI-SC00BDFD604,70,1806,CellChatDB_v1,user_curated,,NigelHo,,
190,CPI-SC0EFF2AFBD,228,1808,CellChatDB_v1,user_curated,,NigelHo,,
191,CPI-SC015D019B0,953,1808,CellChatDB_v1,user_curated,,NigelHo,,
192,CPI-SC022E8588F,1751,1808,CellChatDB_v1,user_curated,,NigelHo,,
193,CPI-SC0827E3502,1022,1808,CellChatDB_v1,user_curated,,NigelHo,,
194,CPI-SC0B0BAF8DB,289,1808,CellChatDB_v1,user_curated,,NigelHo,,
