id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1083,Q16873,False,,False,,False,,False,False,False,False,False
1084,P18405,False,,False,,False,,False,False,False,False,False
1085,Q15761,True,,False,,False,,True,False,False,False,False
1086,P25929,True,,False,,False,,True,False,False,False,False
1087,Q14118,True,,False,,False,,True,True,False,False,False
1088,Q9NYQ7,True,,False,,False,,True,False,False,False,False
1089,P28329,False,,False,,False,,False,False,False,False,False
1090,P42330,False,,False,,False,,False,False,False,False,False
1091,Q9H7T0,False,,False,,False,,False,False,False,False,False
1092,Q14914,False,,False,,False,,False,False,False,False,False
1093,P23416,True,,False,,False,,True,False,False,False,False
1094,P18054,False,,False,,False,,False,False,False,False,False
1095,P19099,False,,False,,False,,False,False,False,False,False
1096,Q9NZN1,True,Cytokine_receptor_add,False,,False,,True,False,False,False,False
1097,O14684,False,,False,,False,,False,False,False,False,False
1098,P05093,False,,False,,False,,False,False,False,False,False
1099,Q969F8,True,,False,,False,,True,False,False,False,False
1100,Q8NCW0,False,,False,,False,,False,False,False,False,False
1101,P47895,False,,False,,False,,False,False,False,False,False
1102,P51857,False,,False,,False,,False,False,False,False,False
1103,P50391,True,,False,,False,,True,False,False,False,False
1104,P49146,True,,False,,False,,True,False,False,False,False
1105,Q15185,False,,False,,False,,False,False,False,False,False
1106,P25101,True,,False,,False,,True,False,False,False,False
1107,P22570,False,,False,,False,,False,False,False,False,False
1108,P10082,False,,False,,True,Hormone,False,True,False,False,False
1109,Q96MU8,False,,False,,False,,False,False,False,False,False
1110,Q12879,True,,False,,False,,True,False,False,False,False
1111,P24557,False,,False,,False,,False,False,False,False,False
1112,Q6P4F2,False,,False,,False,,False,False,False,False,False
1113,Q8TF42,False,,False,,False,,False,False,False,False,False
1114,P14679,False,,False,,False,,False,False,False,False,False
1115,P46597,False,,False,,False,,False,False,False,False,False
1116,P20800,False,,False,,False,,False,True,False,False,False
1117,Q53GQ0,False,,False,,False,,False,False,False,False,False
1118,P19793,False,,False,,False,,False,False,False,False,False
1119,P13631,False,,False,,False,,False,False,False,False,False
1120,Q96P65,True,,False,,False,,True,False,False,False,False
1121,P00352,False,,False,,False,,False,False,False,False,False
1122,P38571,False,,False,,False,,False,False,False,False,False
1123,P05108,False,,False,,False,,False,False,False,False,False
1124,Q5H8A3,False,,False,,False,,False,True,False,False,False
1125,P19113,False,,False,,False,,False,False,False,False,False
1126,P83859,False,,False,,False,,False,True,False,False,False
1127,Q13635,False,,False,,False,,False,False,False,False,False
1128,P28702,False,,False,,False,,False,False,False,False,False
1129,Q92847,True,,False,,False,,True,False,False,False,False
1130,P31213,False,,False,,False,,False,False,False,False,False
1131,P08684,False,,False,,False,,False,False,False,False,False
1132,Q14957,True,,False,,False,,True,False,False,False,False
1133,O94788,False,,False,,False,,False,False,False,False,False
1134,P15538,False,,False,,False,,False,False,False,False,False
1135,P04808,False,,False,,True,Hormone,False,True,False,False,False
1136,P11511,False,,False,,False,,False,False,False,False,False
1137,P14061,False,,False,,False,,False,False,False,False,False
1138,P01298,False,,False,,True,Hormone,False,True,False,False,False
1139,P20711,False,,False,,False,,False,False,False,False,False
1140,P48443,False,,False,,False,,False,False,False,False,False
1141,P08686,False,,False,,False,,False,False,False,False,False
1142,P15121,False,,False,,False,,False,False,False,False,False
1143,Q13224,True,,False,,False,,True,False,False,False,False
1144,Q9UBM7,False,,False,,False,,False,False,False,False,False
1145,P07202,False,,False,,False,,False,False,False,False,False
1146,Q9H8P0,False,,False,,False,,False,False,False,False,False
1147,P41586,True,,False,,False,,True,False,False,False,False
1148,O94910,True,,False,,False,,True,False,False,False,False
1149,P37058,False,,False,,False,,False,False,False,False,False
1150,Q16647,False,,False,,False,,False,False,False,False,False
1151,Q06520,False,,False,,False,,False,False,False,False,False
1152,Q9H4A9,False,,False,,False,,False,False,False,False,False
1153,P49888,False,,False,,False,,False,False,False,False,False
1154,P50225,False,,False,,False,,False,False,False,False,False
1155,Q9BPW9,False,,False,,False,,False,False,False,False,False
1156,P11086,False,,False,,False,,False,False,False,False,False
1157,P09960,False,,False,,False,,False,False,False,False,False
1158,P21589,False,,False,,False,,True,False,False,False,False
1159,P11230,True,,False,,False,,True,False,False,False,False
1160,Q07001,True,,False,,False,,True,False,False,False,False
1161,Q04844,True,,False,,False,,True,False,False,False,False
1162,P07510,True,,False,,False,,True,False,False,False,False
1163,Q96PE1,True,,False,,False,,True,False,False,False,False
1164,O14514,True,,False,,False,,True,False,False,False,False
1165,O60241,True,,False,,False,,True,False,False,False,False
1166,O60242,True,,False,,False,,True,False,False,False,False
1167,Q9UHX3,True,,False,,False,,True,False,False,False,False
1168,Q9Y653,True,,False,,False,,True,False,False,False,False
1169,Q86SQ4,True,,False,,False,,True,False,False,False,False
1170,O95490,True,,False,,False,,True,False,False,False,False
1171,Q9HAR2,True,,False,,False,,True,False,False,False,False
1172,Q06481,False,,False,,False,,True,False,False,False,False
1173,F7VJQ1,False,,False,,False,,False,False,False,False,False
1174,Q7Z5L3,False,,False,,True,,False,True,False,False,False
1175,Q5VWW1,False,,False,,True,,False,True,False,False,False
1176,Q86Z23,False,,False,,True,,False,True,False,False,False
1177,Q9NPY3,True,,False,,False,,True,False,False,False,False
1178,O75973,False,,False,,False,,False,True,False,False,False
1179,P08311,False,,False,,False,,False,True,False,False,False
1180,P23435,False,,False,,True,,False,True,False,False,False
1181,P29016,False,,False,,False,,True,False,False,False,False
1182,Q9HCU0,False,,False,,False,,True,False,False,False,False
1183,Q9NPF0,False,,False,,False,,True,False,False,False,False
1184,A6NKQ9,False,,False,,True,Hormone,False,True,False,False,False
1185,Q6NT52,False,,False,,True,Hormone,False,True,False,False,False
1186,P0DN86,False,,False,,True,Hormone,False,True,False,False,False
1187,P0DN87,False,,False,,True,,False,True,False,False,False
1188,O94985,False,,False,,False,,True,False,False,False,False
1189,Q9H4D0,False,,False,,False,,True,False,False,False,False
1190,Q9BQT9,False,,False,,False,,True,False,False,False,False
1191,P17302,False,,False,,False,,True,False,False,False,False
1192,Q9Y6H8,False,,False,,False,,True,False,False,False,False
1193,P36382,False,,False,,False,,True,False,False,False,False
1194,P36383,False,,False,,False,,True,False,False,False,False
1195,Q99259,False,,False,,False,,False,False,False,False,False
1196,Q05329,False,,False,,False,,True,False,False,False,False
1197,P43003,False,,False,,False,,True,False,False,False,False
1198,P43004,False,,False,,False,,True,False,False,False,False
1199,P43005,False,,False,,False,,True,False,False,False,False
1200,P48664,False,,False,,False,,True,False,False,False,False
1201,O00341,False,,False,,False,,True,False,False,False,False
1202,P05305,False,,False,,False,,False,True,False,False,False
1203,P14138,False,,False,,False,,False,True,False,False,False
1204,P24530,True,,False,,False,,True,False,False,False,False
1205,Q9NZU1,False,,False,,False,,True,False,False,False,False
1206,O43155,False,,False,,False,,True,False,False,False,False
1207,Q9NZU0,False,,False,,False,,True,False,False,False,False
1208,Q9UBS5,True,,False,,False,,True,False,False,False,False
1209,O75899,True,,False,,False,,True,False,False,False,False
1210,P14867,True,,False,,False,,True,False,False,False,False
1211,P47869,True,,False,,False,,True,False,False,False,False
1212,P34903,True,,False,,False,,True,False,False,False,False
1213,P48169,True,,False,,False,,True,False,False,False,False
1214,P31644,True,,False,,False,,True,False,False,False,False
1215,Q16445,True,,False,,False,,True,False,False,False,False
1216,P47870,True,,False,,False,,True,False,False,False,False
1217,P28472,True,,False,,False,,True,False,False,False,False
1218,O14764,True,,False,,False,,True,False,False,False,False
1219,P78334,True,,False,,False,,True,False,False,False,False
1220,P18507,True,,False,,False,,True,False,False,False,False
1221,Q9UN88,True,,False,,False,,True,False,False,False,False
1222,P23415,True,,False,,False,,True,False,False,False,False
1223,P48167,True,,False,,False,,True,False,False,False,False
1224,O94925,False,,False,,False,,False,False,False,False,False
1225,Q9UI32,False,,False,,False,,False,False,False,False,False
1226,P34896,False,,False,,False,,False,False,False,False,False
1227,P34897,False,,False,,False,,False,False,False,False,False
1228,O43194,True,,False,,False,,True,False,False,False,False
1229,P42261,True,,False,,False,,True,False,False,False,False
1230,P42262,True,,False,,False,,True,False,False,False,False
1231,P42263,True,,False,,False,,True,False,False,False,False
1232,P48058,True,,False,,False,,True,False,False,False,False
1233,O43424,True,,False,,False,,True,False,False,False,False
1234,P39086,True,,False,,False,,True,False,False,False,False
